id,image,label
0,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_1_mask.tif
1,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_10_mask.tif
2,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_11_mask.tif
3,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_12_mask.tif
4,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_13_mask.tif
5,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_14_mask.tif
6,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_15_mask.tif
7,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_16_mask.tif
8,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_17_mask.tif
9,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_18_mask.tif
10,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_19_mask.tif
11,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_2_mask.tif
12,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_20_mask.tif
13,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_21_mask.tif
14,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_22_mask.tif
15,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_23_mask.tif
16,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_3_mask.tif
17,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_4_mask.tif
18,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_5_mask.tif
19,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_6_mask.tif
20,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_7_mask.tif
21,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_8_mask.tif
22,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9.tif,./archive/kaggle_3m\TCGA_CS_4941_19960909\TCGA_CS_4941_19960909_9_mask.tif
23,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_1.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_1_mask.tif
24,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_10.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_10_mask.tif
25,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_11.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_11_mask.tif
26,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_12.tif,./archive/kaggle_3m\TCGA_CS_4942_19970222\TCGA_CS_4942_19970222_12_mask.tif
